Year,Team,Totals,TD,YDS,AVG,LG,REC,NO,FC,LOST,OWN,OPP,G20+,G40+,FUM
1939,llarm,Opponents Totals,1,,,,,,,,,,,,
1939,min,Team Totals,0,,,,,,,,,,,,
1939,min,Opponents Totals,0,,,,,,,,,,,,
1939,larm,Team Totals,0,,,,,,,,,,,,
1939,larm,Opponents Totals,0,,,,,,,,,,,,
1939,bal,Team Totals,0,,,,,,,,,,,,
1939,bal,Opponents Totals,0,,,,,,,,,,,,
1939,lten,Team Totals,0,,,,,,,,,,,,
1939,lten,Opponents Totals,0,,,,,,,,,,,,
1939,dul,Team Totals,0,,,,,,,,,,,,
1939,dul,Opponents Totals,0,,,,,,,,,,,,
1939,atl,Team Totals,0,,,,,,,,,,,,
1939,atl,Opponents Totals,0,,,,,,,,,,,,
1939,ham,Team Totals,0,,,,,,,,,,,,
1939,ham,Opponents Totals,0,,,,,,,,,,,,
1940,lkc,Team Totals,0,741,,,,,,,,,,,
1940,lkc,Opponents Totals,0,,,,,,,,,,,,
1940,har,Team Totals,1,793,,,,,,,,,,,
1940,har,Opponents Totals,0,,,,,,,,,,,,
1940,llarm,Team Totals,0,282,,,,,,,,,,,
1940,llarm,Opponents Totals,0,,,,,,,,,,,,
1940,min,Team Totals,0,843,,,,,,,,,,,
1940,min,Opponents Totals,0,,,,,,,,,,,,
1940,larm,Team Totals,0,667,,,,,,,,,,,
1940,larm,Opponents Totals,1,,,,,,,,,,,,
1940,bal,Team Totals,2,798,,,,,,,,,,,
1940,bal,Opponents Totals,0,435,,,,,,,,,,,
1940,lten,Team Totals,0,381,,,,,,,,,,,
1940,lten,Opponents Totals,2,,,,,,,,,,,,
1940,dul,Team Totals,0,714,,,,,,,,,,,
1940,dul,Opponents Totals,1,,,,,,,,,,,,
1940,atl,Team Totals,0,655,,,,,,,,,,,
1940,atl,Opponents Totals,0,,,,,,,,,,,,
1940,ham,Team Totals,1,632,,,,,,,,,,,
1940,ham,Opponents Totals,0,,,,,,,,,,,,
1941,lkc,Team Totals,0,467,23.4,,,20,,,,,,,
1941,lkc,Opponents Totals,0,1007,22.4,,,45,,,,,,,
1941,har,Team Totals,0,616,22.0,,,28,,,,,,,
1941,har,Opponents Totals,0,606,22.4,,,27,,,,,,,
1941,llarm,Team Totals,0,580,20.7,,,28,,,,,,,
1941,llarm,Opponents Totals,0,698,19.4,,,36,,,,,,,
1941,min,Team Totals,0,734,23.7,72,,31,,,,,,,
1941,min,Opponents Totals,0,443,20.1,53,,22,,,,,,,
1941,larm,Team Totals,0,930,21.1,,,44,,,,,,,
1941,larm,Opponents Totals,1,536,25.5,,,21,,,,,,,
1941,bal,Team Totals,1,685,23.6,,,29,,,,,,,
1941,bal,Opponents Totals,1,1187,24.7,,,48,,,,,,,
1941,lten,Team Totals,0,567,20.3,55,,28,,,,,,,
1941,lten,Opponents Totals,0,880,22.6,51,,39,,,,,,,
1941,dul,Team Totals,1,980,26.5,,,37,,,,,,,
1941,dul,Opponents Totals,0,609,22.6,,,27,,,,,,,
1941,atl,Team Totals,0,705,22.7,,,31,,,,,,,
1941,atl,Opponents Totals,0,596,20.6,,,29,,,,,,,
1941,ham,Team Totals,1,820,20.0,,,41,,,,,,,
1941,ham,Opponents Totals,1,484,26.9,,,18,,,,,,,
1942,lkc,Team Totals,2,640,27.8,95t,,23,,,,,,,
1942,lkc,Opponents Totals,2,,,,,37,,,,,,,
1942,har,Team Totals,1,699,23.3,84t,,30,,,,,,,
1942,har,Opponents Totals,0,,,,,27,,,,,,,
1942,llarm,Team Totals,0,564,23.5,42,,24,,,,,,,
1942,llarm,Opponents Totals,1,,,,,35,,,,,,,
1942,min,Team Totals,0,656,21.2,55,,31,,,,,,,
1942,min,Opponents Totals,0,,,,,22,,,,,,,
1942,larm,Team Totals,1,882,21.0,97t,,42,,,,,,,
1942,larm,Opponents Totals,1,632,24.3,95t,,26,,,,,,,
1942,bal,Team Totals,0,541,27.1,62,,20,,,,,,,
1942,bal,Opponents Totals,0,,,,,60,,,,,,,
1942,lten,Team Totals,1,788,21.3,98t,,37,,,,,,,
1942,lten,Opponents Totals,1,1050,23.3,95t,,45,,,,,,,
1942,dul,Team Totals,0,739,18.9,37,,39,,,,,,,
1942,dul,Opponents Totals,0,,,,,27,,,,,,,
1942,atl,Team Totals,1,855,23.8,95t,,36,,,,,,,
1942,atl,Opponents Totals,0,,,,,26,,,,,,,
1942,ham,Team Totals,0,695,18.3,41,,38,,,,,,,
1942,ham,Opponents Totals,1,,,,,15,,,,,,,
1943,lkc,Team Totals,0,616,23.7,84,,26,,,,,,,
1943,lkc,Opponents Totals,0,,,,,31,,,,,,,
1943,har,Team Totals,0,436,21.8,37,,20,,,,,,,
1943,har,Opponents Totals,0,,,,,41,,,,,,,
1943,llarm,Team Totals,0,812,20.3,35,,40,,,,,,,
1943,llarm,Opponents Totals,2,828,24.4,98t,,34,,,,,,,
1943,min,Team Totals,0,961,24.0,69,,40,,,,,,,
1943,min,Opponents Totals,0,225,22.5,,,10,,,,,,,
1943,larm,Team Totals,1,722,24.9,96t,,29,,,,,,,
1943,larm,Opponents Totals,0,,,,,50,,,,,,,
1943,bal,Team Totals,0,661,23.6,43,,28,,,,,,,
1943,bal,Opponents Totals,0,606,19.5,37,,28,,,,,,,
1943,lten,Team Totals,1,815,22.6,98t,,36,,,,,,,
1943,lten,Opponents Totals,0,,,,,29,,,,,,,
1943,dul,Team Totals,0,569,18.4,34,,31,,,,,,,
1943,dul,Opponents Totals,0,,,,,24,,,,,,,
1944,lkc,Team Totals,0,466,27.4,66,,17,,,,,,,
1944,lkc,Opponents Totals,0,,,,,40,,,,,,,
1944,har,Team Totals,1,630,24.2,97,,26,,,,,,,
1944,har,Opponents Totals 0td?,1,828,18.0,41,,46,,,,,,,
1944,llarm,Team Totals,0,681,18.4,37,,37,,,,,,,
1944,llarm,Opponents Totals,0,,,,,26,,,,,,,
1944,min,Team Totals,0,797,20.4,55,,39,,,,,,,
1944,min,Opponents Totals,0,,,,,18,,,,,,,
1944,larm,Team Totals,0,576,22.2,36,,26,,,,,,,
1944,larm,Opponents Totals,0,293,19.5,,,15,,,,,,,
1944,bal,Team Totals,0,610,20.3,44,,30,,,,,,,
1944,bal,Opponents Totals,0,806,23.7,44,,34,,,,,,,
1944,lten,Team Totals,0,670,21.6,52,,31,,,,,,,
1944,lten,Opponents Totals,1,,,,,46,,,,,,,
1944,dul,Team Totals,1,589,23.6,92,,25,,,,,,,
1944,dul,Opponents Totals,0,,,,,39,,,,,,,
1944,atl,Team Totals,0,965,22.4,51,,43,,,,,,,
1944,atl,Opponents Totals,1,,,,,36,,,,,,,
1944,ham,Team Totals,1,1119,21.1,55,,53,,,,,,,
1944,ham,Opponents Totals,0,,,,,25,,,,,,,
1945,lkc,Team Totals,0,628,21.7,55,,29,,,,,,,
1945,lkc,Opponents Totals,0,,,,,37,,,,,,,
1945,har,Team Totals,1,734,24.5,98t,,30,,,,,,,
1945,har,Opponents Totals,0,823,21.1,47,,39,,,,,,,
1945,llarm,Team Totals,0,649,21.6,47,,30,,,,,,,
1945,llarm,Opponents Totals,1,,,,,30,,,,,,,
1945,min,Team Totals,0,845,20.6,52,,41,,,,,,,
1945,min,Opponents Totals,0,,,,,25,,,,,,,
1945,larm,Team Totals,0,652,21.7,39,,30,,,,,,,
1945,larm,Opponents Totals,0,,,,,25,,,,,,,
1945,bal,Team Totals,0,438,16.8,30,,26,,,,,,,
1945,bal,Opponents Totals,0,,,,,45,,,,,,,
1945,lten,Team Totals,0,662,22.1,49,,30,,,,,,,
1945,lten,Opponents Totals,0,,,,,37,,,,,,,
1945,dul,Team Totals,0,670,20.3,79,,33,,,,,,,
1945,dul,Opponents Totals,0,737,18.9,36,,39,,,,,,,
1945,atl,Team Totals,0,59,,,17,21,,10,11,6,,,
1945,atl,Opponents Totals,1,,,,28,24,,6,18,10,,,
1945,ham,Team Totals,0,924,20.1,44,,46,,,,,,,
1945,ham,Opponents Totals,0,368,18.4,,,20,,,,,,,
1946,lkc,Team Totals,0,625,26.0,53,,24,,,,,,,
1946,lkc,Opponents Totals,2,1279,24.6,,,52,,,,,,,
1946,har,Team Totals,0,881,21.5,63,,41,,,,,,,
1946,har,Opponents Totals,0,822,20.6,50,,40,,,,,,,
1946,llarm,Team Totals,0,784,21.8,55,,36,,,,,,,
1946,llarm,Opponents Totals,0,652,20.4,,,32,,,,,,,
1946,min,Team Totals,0,474,18.2,34,,26,,,,,,,
1946,min,Opponents Totals,0,684,24.4,,,28,,,,,,,
1946,larm,Team Totals,1,1096,21.1,97t,,52,,,,,,,
1946,larm,Opponents Totals,0,670,18.6,,,36,,,,,,,
1946,bal,Team Totals,0,800,21.6,50,,37,,,,,,,
1946,bal,Opponents Totals,0,799,16.0,,,50,,,,,,,
1946,lten,Team Totals,1,887,20.6,92,,43,,,,,,,
1946,lten,Opponents Totals,1,1301,25.0,,,52,,,,,,,
1946,dul,Team Totals,1,825,20.6,105t,,40,,,,,,,
1946,dul,Opponents Totals,0,748,16.3,,,46,,,,,,,
1946,atl,Team Totals,0,740,21.8,44,,34,,,,,,,
1946,atl,Opponents Totals,0,683,24.4,51,,28,,,,,,,
1946,ham,Team Totals,0,1127,19.1,51,,59,,,,,,,
1946,ham,Opponents Totals,0,601,21.5,,,28,,,,,,,
1947,lkc,Team Totals,1,854,19.4,95t,,44,,,,,,,
1947,lkc,Opponents Totals,1,989,20.2,94t,,49,,,,,,,
1947,har,Team Totals,0,975,19.5,39,,50,,,,,,,
1947,har,Opponents Totals,0,892,20.7,,,43,,,,,,,
1947,llarm,Team Totals,0,1130,21.7,79,,52,,,,,,,
1947,llarm,Opponents Totals,0,562,17.6,,,32,,,,,,,
1947,min,Team Totals,2,1456,22.1,94t,,66,,,,,,,
1947,min,Opponents Totals,1,1130,22.2,,,51,,,,,,,
1947,larm,Team Totals,0,905,18.9,42,,48,,,,,,,
1947,larm,Opponents Totals,1,859,18.3,,,47,,,,,,,
1947,bal,Team Totals,0,716,16.7,33,,43,,,,,,,
1947,bal,Opponents Totals,0,1037,19.6,,,53,,,,,,,
1947,lten,Team Totals,0,871,21.2,45,,41,,,,,,,
1947,lten,Opponents Totals,0,1000,17.5,,,57,,,,,,,
1947,dul,Team Totals,0,874,20.8,39,,42,,,,,,,
1947,dul,Opponents Totals,0,1034,21.5,40,,48,,,,,,,
1947,atl,Team Totals,0,727,20.2,75,,36,,,,,,,
1947,atl,Opponents Totals,0,1002,21.3,,,47,,,,,,,
1947,ham,Team Totals,0,926,18.5,78,,50,,,,,,,
1947,ham,Opponents Totals,0,929,20.6,,,45,,,,,,,
1948,lkc,Team Totals,0,681,21.3,50,,32,,,,,,,
1948,lkc,Opponents Totals,0,990,20.6,48,,48,,,,,,,
1948,har,Team Totals,1,1144,21.6,96t,,53,,,,,,,
1948,har,Opponents Totals,1,1079,24.5,,,44,,,,,,,
1948,llarm,Team Totals,1,1238,21.7,99t,,57,,,,,,,
1948,llarm,Opponents Totals,0,1242,22.2,,,56,,,,,,,
1948,min,Team Totals,0,846,20.1,55,,42,,,,,,,
1948,min,Opponents Totals,0,622,17.8,,,35,,,,,,,
1948,larm,Team Totals,0,1090,20.2,53,,54,,,,,,,
1948,larm,Opponents Totals,0,702,19.5,,,36,,,,,,,
1948,bal,Team Totals,0,915,24.1,83,,38,,,,,,,
1948,bal,Opponents Totals,1,1207,18.9,,,64,,,,,,,
1948,lten,Team Totals,1,751,25.9,95t,,29,,,,,,,
1948,lten,Opponents Totals,0,1101,18.7,,,59,,,,,,,
1948,dul,Team Totals,1,894,21.3,92t,,42,,,,,,,
1948,dul,Opponents Totals,1,1177,22.2,,,53,,,,,,,
1948,atl,Team Totals,0,926,19.7,36,,47,,,,,,,
1948,atl,Opponents Totals,1,611,27.8,96t,,22,,,,,,,
1948,ham,Team Totals,0,1154,18.6,48,,62,,,,,,,
1948,ham,Opponents Totals,0,908,23.3,,,39,,,,,,,
1949,lkc,Team Totals,0,542,21.7,54,,25,,,,,,,
1949,lkc,Opponents Totals,0,1087,20.5,40,,53,,,,,,,
1949,har,Team Totals,0,792,21.4,44,,37,,,,,,,
1949,har,Opponents Totals,0,687,19.6,,,35,,,,,,,
1949,llarm,Team Totals,1,961,26.0,95t,,37,,,,,,,
1949,llarm,Opponents Totals,0,1092,22.8,,,48,,,,,,,
1949,min,Team Totals,0,1113,20.2,70,,55,,,,,,,
1949,min,Opponents Totals,0,917,21.8,,,42,,,,,,,
1949,larm,Team Totals,0,1191,20.5,55,,58,,,,,,,
1949,larm,Opponents Totals,0,618,19.9,,,31,,,,,,,
1949,bal,Team Totals,0,690,18.6,57,,37,,,,,,,
1949,bal,Opponents Totals,0,1144,20.8,,,55,,,,,,,
1949,lten,Team Totals,0,874,23.0,52,,38,,,,,,,
1949,lten,Opponents Totals,0,963,21.9,,,44,,,,,,,
1949,dul,Team Totals,0,1013,19.9,48,,51,,,,,,,
1949,dul,Opponents Totals,1,1252,23.2,,,54,,,,,,,
1949,atl,Team Totals,0,1064,21.7,56,,49,,,,,,,
1949,atl,Opponents Totals,0,712,18.7,,,38,,,,,,,
1949,ham,Team Totals,0,815,19.4,36,,42,,,,,,,
1949,ham,Opponents Totals,0,583,20.1,48,,29,,,,,,,
1950,lkc,Team Totals,0,670,20.9,61,,32,,,,,,,
1950,lkc,Opponents Totals,0,988,23.0,71,,43,,,,,,,
1950,har,Team Totals,0,592,23.7,53,,25,,,,,,,
1950,har,Opponents Totals,0,1166,21.2,,,55,,,,,,,
1950,llarm,Team Totals,1,867,22.8,103t,,38,,,,,,,
1950,llarm,Opponents Totals,0,834,21.9,58,,38,,,,,,,
1950,min,Team Totals,0,748,23.4,61,,32,,,,,,,
1950,min,Opponents Totals,0,710,19.2,,,37,,,,,,,
1950,larm,Team Totals,0,1064,20.9,46,,51,,,,,,,
1950,larm,Opponents Totals,0,1063,23.1,,,46,,,,,,,
1950,bal,Team Totals,0,1242,24.4,76,,51,,,,,,,
1950,bal,Opponents Totals,0,946,21.5,,,44,,,,,,,
1950,lten,Team Totals,3,1424,25.4,97t,,56,,,,,,,
1950,lten,Opponents Totals,2,1411,29.4,,,48,,,,,,,
1950,dul,Team Totals,0,818,23.4,37,,35,,,,,,,
1950,dul,Opponents Totals,0,848,19.3,,,44,,,,,,,
1950,atl,Team Totals,1,1280,22.1,89t,,58,,,,,,,
1950,atl,Opponents Totals,0,1148,21.7,,,53,,,,,,,
1950,ham,Team Totals,1,1067,26.7,97t,,40,,,,,,,
1950,ham,Opponents Totals,2,1218,22.6,,,54,,,,,,,
1950,jac,Team Totals,0,1233,22.0,48,,56,,,,,,,
1950,jac,Opponents Totals,0,845,20.6,50,,41,,,,,,,
1950,lind,Team Totals,0,800,20.0,62,,40,,,,,,,
1950,lind,Opponents Totals,1,1014,24.7,37,,41,,,,,,,
1950,was,Team Totals,0,1286,19.5,40,,66,,,,,,,
1950,was,Opponents Totals,1,900,25.0,95,,36,,,,,,,
1951,lkc,Team Totals,0,496,18.4,48,,27,,,,,,,
1951,lkc,Opponents Totals,0,763,22.4,41,,34,,,,,,,
1951,har,Team Totals,1,724,25.9,100t,,28,,,,,,,
1951,har,Opponents Totals,1,1002,20.4,,,49,,,,,,,
1951,llarm,Team Totals,0,896,19.1,39,,47,,,,,,,
1951,llarm,Opponents Totals,0,679,19.4,,,35,,,,,,,
1951,min,Team Totals,0,858,25.2,86,,34,,,,,,,
1951,min,Opponents Totals,0,597,18.7,,,32,,,,,,,
1951,larm,Team Totals,0,920,19.2,40,,48,,,,,,,
1951,larm,Opponents Totals,0,923,22.5,38,,41,,,,,,,
1951,bal,Team Totals,0,1051,24.4,57,,43,,,,,,,
1951,bal,Opponents Totals,0,801,19.1,,,42,,,,,,,
1951,lten,Team Totals,0,826,18.8,36,,44,,,,,,,
1951,lten,Opponents Totals,0,1478,27.4,,,54,,,,,,,
1951,dul,Team Totals,0,1053,23.4,63,,45,,,,,,,
1951,dul,Opponents Totals,0,1328,22.9,,,58,,,,,,,
1951,atl,Team Totals,0,820,21.6,49,,38,,,,,,,
1951,atl,Opponents Totals,0,957,21.3,63,,45,,,,,,,
1951,ham,Team Totals,0,974,21.2,86,,46,,,,,,,
1951,ham,Opponents Totals,0,977,25.7,,,38,,,,,,,
1951,jac,Team Totals,0,1449,24.2,48,,60,,,,,,,
1951,jac,Opponents Totals,0,741,18.5,41,,40,,,,,,,
1951,lind,Team Totals,1,1256,22.8,90t,,55,,,,,,,
1951,lind,Opponents Totals,1,1077,22.4,,,48,,,,,,,
1952,lkc,Team Totals,0,823,17.5,40,,47,,,,,,,
1952,lkc,Opponents Totals,0,1107,23.6,43,,47,,,,,,,
1952,har,Team Totals,0,999,22.2,61,,45,,,,,,,
1952,har,Opponents Totals,0,957,19.5,,,49,,,,,,,
1952,llarm,Team Totals,0,1173,25.0,66,,47,,,,,,,
1952,llarm,Opponents Totals,0,1111,25.3,93t,,44,,,,,,,
1952,min,Team Totals,2,1128,28.9,93t,,39,,,,,,,
1952,min,Opponents Totals,2,1024,18.3,,,56,,,,,,,
1952,larm,Team Totals,2,1008,22.4,100t,,45,,,,,,,
1952,larm,Opponents Totals,2,774,22.1,,,35,,,,,,,
1952,bal,Team Totals,0,1052,20.6,48,,51,,,,,,,
1952,bal,Opponents Totals,0,1017,24.2,,,42,,,,,,,
1952,lten,Team Totals,0,882,22.6,46,,39,,,,,,,
1952,lten,Opponents Totals,0,1338,21.2,,,63,,,,,,,
1952,dul,Team Totals,0,967,24.2,56,,40,,,,,,,
1952,dul,Opponents Totals,0,1149,23.9,,,48,,,,,,,
1952,atl,Team Totals,0,798,22.2,47,,36,,,,,,,
1952,atl,Opponents Totals,0,1242,23.9,52,,52,,,,,,,
1952,ham,Team Totals,0,1085,20.9,40,,52,,,,,,,
1952,ham,Opponents Totals,2,1312,25.7,89t,,51,,,,,,,
1952,jac,Team Totals,2,1168,23.4,89t,,50,,,,,,,
1952,jac,Opponents Totals,2,906,25.2,,,36,,,,,,,
1952,lind,Team Totals,0,1586,23.7,82,,67,,,,,,,
1952,lind,Opponents Totals,0,732,20.9,,,35,,,,,,,
1953,lkc,Team Totals,0,579,19.3,40,,30,,,,,,,
1953,lkc,Opponents Totals,0,1114,24.2,49,,46,,,,,,,
1953,har,Team Totals,0,787,21.3,62,,37,,,,,,,
1953,har,Opponents Totals,1,1208,24.7,104t,,49,,,,,,,
1953,llarm,Team Totals,0,797,19.4,40,,41,,,,,,,
1953,llarm,Opponents Totals,0,1213,28.2,,,43,,,,,,,
1953,min,Team Totals,1,1101,25.0,93t,,44,,,,,,,
1953,min,Opponents Totals,0,604,16.3,,,37,,,,,,,
1953,larm,Team Totals,0,1077,26.3,86,,41,,,,,,,
1953,larm,Opponents Totals,1,705,19.6,,,36,,,,,,,
1953,bal,Team Totals,0,1120,22.4,48,,50,,,,,,,
1953,bal,Opponents Totals,0,852,24.3,,,35,,,,,,,
1953,lten,Team Totals,0,926,21.5,85,,43,,,,,,,
1953,lten,Opponents Totals,0,1193,22.1,,,54,,,,,,,
1953,dul,Team Totals,0,1105,25.7,82,,43,,,,,,,
1953,dul,Opponents Totals,0,1264,21.4,78,,59,,,,,,,
1953,atl,Team Totals,0,1136,23.7,69,,48,,,,,,,
1953,atl,Opponents Totals,0,1600,27.1,,,59,,,,,,,
1953,ham,Team Totals,0,1089,22.7,70,,48,,,,,,,
1953,ham,Opponents Totals,0,844,23.4,,,36,,,,,,,
1953,jac,Team Totals,1,1258,23.7,104t,,53,,,,,,,
1953,jac,Opponents Totals,0,724,18.1,28,,40,,,,,,,
1953,lind,Team Totals,0,1197,21.4,47,,56,,,,,,,
1953,lind,Opponents Totals,0,851,21.3,47,,40,,,,,,,
1954,lkc,Team Totals,0,783,25.3,51,,31,,,,,,,
1954,lkc,Opponents Totals,0,1060,20.8,50,,51,,,,,,,
1954,har,Team Totals,0,945,21.0,38,,45,,,,,,,
1954,har,Opponents Totals,2,1235,23.8,99t,,52,,,,,,,
1954,llarm,Team Totals,0,662,22.8,41,,29,,,,,,,
1954,llarm,Opponents Totals,1,1274,24.0,,,53,,,,,,,
1954,min,Team Totals,0,987,21.9,50,,45,,,,,,,
1954,min,Opponents Totals,1,1003,23.9,,,42,,,,,,,
1954,larm,Team Totals,1,1380,20.0,99t,,69,,,,,,,
1954,larm,Opponents Totals,0,865,22.2,,,39,,,,,,,
1954,bal,Team Totals,1,822,21.1,100t,,39,,,,,,,
1954,bal,Opponents Totals,0,1257,20.6,,,61,,,,,,,
1954,lten,Team Totals,0,942,18.8,35,,50,,,,,,,
1954,lten,Opponents Totals,1,1018,21.7,,,47,,,,,,,
1954,dul,Team Totals,0,930,23.8,65,,39,,,,,,,
1954,dul,Opponents Totals,0,1145,20.1,43,,57,,,,,,,
1954,atl,Team Totals,1,1202,21.5,88t,,56,,,,,,,
1954,atl,Opponents Totals,0,1058,23.0,,,46,,,,,,,
1954,ham,Team Totals,0,1193,24.3,88,,49,,,,,,,
1954,ham,Opponents Totals,0,832,18.5,35,,45,,,,,,,
1954,jac,Team Totals,0,899,18.7,35,,48,,,,,,,
1954,jac,Opponents Totals,0,587,20.2,40,,29,,,,,,,
1954,lind,Team Totals,3,1420,24.5,94t,,58,,,,,,,
1954,lind,Opponents Totals,1,832,23.1,,,36,,,,,,,
1955,lkc,Team Totals,0,949,23.1,47,,41,,,,,,,
1955,lkc,Opponents Totals,1,1220,24.4,100t,,50,,,,,,,
1955,har,Team Totals,1,1097,25.5,94t,,43,,,,,,,
1955,har,Opponents Totals,1,1023,24.4,,,42,,,,,,,
1955,llarm,Team Totals,1,848,21.7,98t,,39,,,,,,,
1955,llarm,Opponents Totals,2,1370,25.4,,,54,,,,,,,
1955,min,Team Totals,0,835,19.0,37,,44,,,,,,,
1955,min,Opponents Totals,0,1133,24.6,,,46,,,,,,,
1955,larm,Team Totals,1,922,23.6,96t,,39,,,,,,,
1955,larm,Opponents Totals,0,987,24.7,61,,40,,,,,,,
1955,bal,Team Totals,0,1157,26.3,81,,44,,,,,,,
1955,bal,Opponents Totals,0,779,20.5,,,38,,,,,,,
1955,lten,Team Totals,0,1013,23.0,39,,44,,,,,,,
1955,lten,Opponents Totals,0,690,19.7,,,35,,,,,,,
1955,dul,Team Totals,0,1085,24.7,81,,44,,,,,,,
1955,dul,Opponents Totals,0,943,21.9,,,43,,,,,,,
1955,atl,Team Totals,1,1002,25.7,100t,,39,,,,,,,
1955,atl,Opponents Totals,0,1157,24.1,,,48,,,,,,,
1955,ham,Team Totals,0,941,23.5,59,,40,,,,,,,
1955,ham,Opponents Totals,0,724,20.1,57,,36,,,,,,,
1955,jac,Team Totals,0,1147,22.5,61,,51,,,,,,,
1955,jac,Opponents Totals,0,867,23.4,56,,37,,,,,,,
1955,lind,Team Totals,0,839,18.6,35,,45,,,,,,,
1955,lind,Opponents Totals,0,942,21.4,,,44,,,,,,,
1956,lkc,Team Totals,0,719,20.5,31,,35,,,,,,,
1956,lkc,Opponents Totals,0,1033,22.5,,,46,,,,,,,
1956,har,Team Totals,1,700,21.2,105t,,33,,,,,,,
1956,har,Opponents Totals,0,889,22.2,,,40,,,,,,,
1956,llarm,Team Totals,0,864,19.6,33,,44,,,,,,,
1956,llarm,Opponents Totals,1,989,24.7,,,40,,,,,,,
1956,min,Team Totals,0,830,24.4,56,,34,,,,,,,
1956,min,Opponents Totals,0,819,24.8,57,,33,,,,,,,
1956,larm,Team Totals,0,1042,26.1,91,,40,,,,,,,
1956,larm,Opponents Totals,0,817,19.0,,,43,,,,,,,
1956,bal,Team Totals,0,1073,23.8,59,,45,,,,,,,
1956,bal,Opponents Totals,0,666,24.7,56,,27,,,,,,,
1956,lten,Team Totals,1,830,22.4,100t,,37,,,,,,,
1956,lten,Opponents Totals,1,1249,26.6,,,47,,,,,,,
1956,dul,Team Totals,0,687,20.8,42,,33,,,,,,,
1956,dul,Opponents Totals,1,1041,21.7,,,48,,,,,,,
1956,atl,Team Totals,1,1257,24.6,96t,,51,,,,,,,
1956,atl,Opponents Totals,0,988,23.5,45,,42,,,,,,,
1956,ham,Team Totals,0,1043,19.3,42,,54,,,,,,,
1956,ham,Opponents Totals,1,1015,23.6,103t,,43,,,,,,,
1956,jac,Team Totals,1,1442,24.4,106t,,59,,,,,,,
1956,jac,Opponents Totals,0,924,19.3,45,,48,,,,,,,
1956,lind,Team Totals,1,1011,23.0,103t,,44,,,,,,,
1956,lind,Opponents Totals,1,1068,20.5,,,52,,,,,,,
1957,lkc,Team Totals,0,686,20.8,36,,33,,,,,,,
1957,lkc,Opponents Totals,0,917,21.8,50,,42,,,,,,,
1957,har,Team Totals,0,976,23.2,34,,42,,,,,,,
1957,har,Opponents Totals,0,964,23.0,,,42,,,,,,,
1957,llarm,Team Totals,1,581,23.2,96t,,25,,,,,,,
1957,llarm,Opponents Totals,0,704,20.1,,,35,,,,,,,
1957,min,Team Totals,0,874,23.0,45,,38,,,,,,,
1957,min,Opponents Totals,0,938,21.8,,,43,,,,,,,
1957,larm,Team Totals,0,838,20.4,50,,41,,,,,,,
1957,larm,Opponents Totals,0,737,23.8,42,,31,,,,,,,
1957,bal,Team Totals,0,1167,24.8,52,,47,,,,,,,
1957,bal,Opponents Totals,1,783,25.3,,,31,,,,,,,
1957,lten,Team Totals,0,747,20.2,45,,37,,,,,,,
1957,lten,Opponents Totals,0,1044,22.2,,,47,,,,,,,
1957,dul,Team Totals,0,1096,26.1,64,,42,,,,,,,
1957,dul,Opponents Totals,0,928,20.6,33,,45,,,,,,,
1957,atl,Team Totals,1,948,22.6,92t,,42,,,,,,,
1957,atl,Opponents Totals,0,1120,22.9,64,,49,,,,,,,
1957,ham,Team Totals,1,1150,23.5,98t,,49,,,,,,,
1957,ham,Opponents Totals,1,1268,23.9,,,53,,,,,,,
1957,jac,Team Totals,0,836,21.4,73,,39,,,,,,,
1957,jac,Opponents Totals,1,860,26.1,,,33,,,,,,,
1957,lind,Team Totals,0,1261,21.7,53,,58,,,,,,,
1957,lind,Opponents Totals,0,897,21.4,46,,42,,,,,,,
1958,lkc,Team Totals,0,700,20.6,44,,34,,,,,,,
1958,lkc,Opponents Totals,0,889,22.2,,,40,,,,,,,
1958,har,Team Totals,2,908,23.9,102t,,38,,,,,,,
1958,har,Opponents Totals,0,1045,21.8,50,,48,,,,,,,
1958,llarm,Team Totals,0,774,21.5,41,,36,,,,,,,
1958,llarm,Opponents Totals,2,1115,22.3,,,50,,,,,,,
1958,min,Team Totals,0,891,22.3,47,,40,,,,,,,
1958,min,Opponents Totals,1,792,22.0,,,36,,,,,,,
1958,larm,Team Totals,2,1532,25.1,101t,,61,,,,,,,
1958,larm,Opponents Totals,1,933,22.8,,,41,,,,,,,
1958,bal,Team Totals,0,900,20.0,44,,45,,,,,,,
1958,bal,Opponents Totals,1,961,24.0,98t,,40,,,,,,,
1958,lten,Team Totals,2,864,25.4,103t,,34,,,,,,,
1958,lten,Opponents Totals,1,1241,28.9,99t,,43,,,,,,,
1958,dul,Team Totals,1,954,25.8,99t,,37,,,,,,,
1958,dul,Opponents Totals,1,1072,22.3,,,48,,,,,,,
1958,atl,Team Totals,0,835,19.4,32,,43,,,,,,,
1958,atl,Opponents Totals,1,1116,21.1,,,53,,,,,,,
1958,ham,Team Totals,0,790,20.3,39,,39,,,,,,,
1958,ham,Opponents Totals,0,739,17.6,30,,42,,,,,,,
1958,jac,Team Totals,1,839,21.5,86t,,39,,,,,,,
1958,jac,Opponents Totals,0,683,20.7,,,33,,,,,,,
1958,lind,Team Totals,0,1309,21.8,60,,60,,,,,,,
1958,lind,Opponents Totals,0,710,22.2,50,,32,,,,,,,
1959,lkc,Team Totals,0,703,22.7,33,,31,,,,,,,
